,気温(℃),風速(m/s),風向,相対湿度(％),露点温度(℃),,伊南川合流点,,,柴倉橋,,,堅盤橋,,,,蒲生水道橋,
2024年6月28日1時,16.1,0.5,南,100,16.1,,,,,,,,,,,,0,
2024年6月28日2時,15.8,0.4,南,100,15.8,,,,,,,,,,,,0,
2024年6月28日3時,15.3,0.4,南南西,100,15.3,,,,,,,,,,,,0,
2024年6月28日4時,15.2,0.2,静穏,100,15.2,,8,,,,,,4,,,,1,
2024年6月28日5時,15.2,0.2,静穏,100,15.2,,1,8,,,,,,,,,1,
2024年6月28日6時,15.7,0.5,南南東,100,15.7,,8,,,,,,,,,,1,
2024年6月28日7時,16.3,0.3,西,100,16.3,,8,,,,,,,,,,1,
2024年6月28日8時,17.1,0.3,東,96,16.5,,,,,,,,,,,,0,
2024年6月28日9時,18,0.4,南南西,92,16.7,,,,,,,,,,,,0,
2024年6月28日10時,17.9,0.6,西南西,93,16.8,,,,,,,,,,,,0,
2024年6月28日11時,17.8,0.4,南南西,100,17.8,,,,,,,,,,,,0,
2024年6月28日12時,18.5,0.5,西南西,100,18.5,,,,,,,,,,,,0,
2024年6月28日13時,18.5,0.5,東,96,17.9,,,,,,,,,,,,0,
2024年6月28日14時,19,0.5,南東,96,18.4,,,,,,,,,,,,0,
2024年6月28日15時,19.4,0.4,東南東,99,19.3,,7,,,,,,,,,,1,
2024年6月28日16時,20,0.6,南,98,19.7,,1,7,,7,,,,,,,1,
2024年6月28日17時,20.4,0.4,西南西,100,20.4,,1,7,,1,,,,,,,1,
2024年6月28日18時,20.2,0.4,西南西,99,20.1,,1,7,,1,,,,,,,1,
2024年6月28日19時,19.4,0.4,南西,100,19.4,,3,7,,2,,,,,,,1,
2024年6月28日20時,18.6,0.6,南,100,18.6,,3,7,,3,,,,,,,1,
2024年6月28日21時,18.4,0.5,南西,100,18.4,,,,,,,,,,,,0,
2024年6月28日22時,18.1,0.1,静穏,100,18.1,,,,,,,,,,,,0,
2024年6月28日23時,18,0.2,静穏,100,18,,,,,,,,,,,,0,
2024年6月28日24時,17.9,0.4,南,100,17.9,,,,,,,,,,,,0,
2024年6月29日1時,18,0.2,静穏,100,18,,,,,,,,,,,,0,
2024年6月29日2時,17.5,0.5,南南東,100,17.5,,,,,,,,4,,,4,1,
2024年6月29日3時,17.7,0.5,西北西,100,17.7,,,,,,,,,,,,0,
2024年6月29日4時,17.4,0.2,静穏,100,17.4,,3,8,,,,,4,,,,1,
2024年6月29日5時,17.5,0.2,静穏,100,17.5,,2,8,,7,,,,,,,1,
2024年6月29日6時,17.8,0.5,東南東,100,17.8,,2,7,,4,,,,,,,1,
2024年6月29日7時,18.5,0.2,静穏,99,18.3,,7,,,7,,,,,,,1,
2024年6月29日8時,19.1,1,北東,92,17.8,,7,,,,,,,,,,1,
2024年6月29日9時,21.5,1.6,東北東,87,19.3,,,,,,,,,,,,0,
2024年6月29日10時,24.6,0.9,南南東,74,19.7,,,,,,,,,,,,0,
2024年6月29日11時,26.2,0.9,東北東,60,17.8,,,,,,,,,,,,0,
2024年6月29日12時,27.6,1.1,南西,45,14.6,,,,,,,,,,,,0,
2024年6月29日13時,29,1.6,南南東,42,14.8,,,,,,,,,,,,0,
2024年6月29日14時,28.3,1.8,西南西,54,18.1,,,,,,,,,,,,0,
2024年6月29日15時,29.2,2.4,北西,55,19.2,,,,,,,,,,,,0,
2024年6月29日16時,28,2.7,北北西,59,19.3,,,,,,,,,,,,0,
2024年6月29日17時,26.4,3.5,北西,66,19.6,,,,,,,,,,,,0,
2024年6月29日18時,25.2,3.3,北西,68,18.9,,,,,,,,,,,,0,
2024年6月29日19時,22.7,0.8,南南西,85,20.1,,,,,,,,,,,,0,
2024年6月29日20時,20.2,0.5,南西,95,19.4,,,,,,,,,,,,0,
2024年6月29日21時,19,0.6,西北西,99,18.8,,,,,,,,,,,,0,
2024年6月29日22時,18,0.4,南南西,100,18,,,,,,,,,,,,0,
2024年6月29日23時,17.5,0.1,静穏,100,17.5,,,,,,,,,,,,0,
2024年6月29日24時,17.3,0.5,南南西,100,17.3,,,,,,,,,,,,0,
2024年6月30日1時,17.6,0.3,南南東,100,17.6,,,,,,,,,,,,0,
2024年6月30日2時,17.5,0.5,東南東,100,17.5,,,,,,,,,,,,0,
2024年6月30日3時,17.5,0.7,東,100,17.5,,,,,,,,4,,,,1,
2024年6月30日4時,17.4,0.2,静穏,100,17.4,,8,,,4,,,,,,,1,
2024年6月30日5時,17.3,0.5,南東,100,17.3,,8,,,4,,,,,,,1,
2024年6月30日6時,17.5,0.9,東南東,100,17.5,,8,,,7,,,7,,,,1,
2024年6月30日7時,17.8,0.6,北,100,17.8,,7,,,,,,7,,,,1,
2024年6月30日8時,18.7,0.6,南東,97,18.2,,,,,,,,,,,,0,
2024年6月30日9時,20,0.5,南東,93,18.8,,,,,,,,,,,,0,
2024年6月30日10時,21.3,0.8,東南東,89,19.4,,,,,,,,,,,,0,
2024年6月30日11時,22,0.6,東南東,85,19.4,,,,,,,,,,,,0,
2024年6月30日12時,22.4,0.8,南東,83,19.4,,,,,,,,,,,,0,
2024年6月30日13時,23.8,0.5,南東,79,20,,,,,,,,,,,,0,
2024年6月30日14時,24.4,0.5,北北東,79,20.5,,,,,,,,,,,,0,
2024年6月30日15時,24.9,1.3,東,79,21,,,,,,,,,,,,0,
2024年6月30日16時,24.4,1.6,北,85,21.7,,,,,,,,,,,,0,
2024年6月30日17時,23.2,1.2,南東,97,22.7,,1,,,,,,,,,,1,
